Final Rank,Model,Accuracy Rank,Risk Rank,Statistical Rank,Overall Average Rank
1,"GARCH(1,2)-t",9.833,5.333,6.917,7.361
2,"GARCH(1,1)-t",9.083,6.5,7.194,7.593
3,"Generalized-GARCH(2,2)-t",10.167,5.417,7.306,7.63
4,"FIGARCH(1,1)-t",8.667,7.667,7.056,7.796
5,"GJR-GARCH(1,1)-t",10.25,6.0,8.056,8.102
6,"GARCH(2,1)-t",9.583,6.75,8.028,8.12
7,"EGARCH(2,1)-t",9.75,7.5,7.278,8.176
8,"APGARCH/APARCH(1,1)-t",12.833,4.083,8.611,8.509
9,"EGARCH(1,1)-t",8.75,8.667,8.111,8.509
10,"ARMA(1,1)-RGARCH-t",3.583,13.583,8.639,8.602
11,REGARCH-t,3.25,14.083,8.722,8.685
12,"ARMA(1,1)-REGARCH-t",3.917,13.5,10.111,9.176
13,RGARCH-t,5.667,14.417,7.528,9.204
14,HAR-RV,2.25,14.417,11.167,9.278
15,"APGARCH/APARCH(2,1)-t",13.333,5.0,9.694,9.343
16,"Threshold-GARCH(1,1)-t",15.083,3.083,9.972,9.38
