Dataset,Model,RMSE,MAE,MAPE,QLIKE,VaR_alpha,Avg_VaR,Avg_ES,CovP,ViolationRate,CRPS,ES_Loss,N,Violations,realized_window,alpha,train_fraction
synthetic_regime_garch,HAR-RV,2.230731469748491,0.6110768544866225,46.943648250454146,1832048187.0162628,0.01,-3.275013604630056,-5.2803399411119525,0.0,0.0,0.3293291600655912,0.0,876,0,10,0.01,0.6
synthetic_regime_garch,Naive-RV,2.282600214544391,0.5553323553342981,26.13751588341526,0.943332862506041,0.01,-3.057050301900013,-4.928915345050732,0.0,0.0,0.3138618118010634,0.0,876,0,10,0.01,0.6
synthetic_regime_garch,"ARMA(1,1)-REGARCH-t",3.811197290284003,1.0329570690440657,46.28263838454355,1.048250628093791,0.01,-2.876567320749853,-4.637920677819174,0.0,0.0,0.3016796342229614,0.0,876,0,10,0.01,0.6
synthetic_regime_garch,REGARCH-t,4.588635682766852,1.2280345486324804,49.175422813509336,1.13663307279268,0.01,-2.6635707909299526,-4.29450406356871,0.0,0.0,0.2875318527215733,0.0,876,0,10,0.01,0.6
synthetic_regime_garch,RGARCH-t,5.04579493549237,1.816856396798743,110.5250444837947,1.091556506701905,0.01,-4.116929746335363,-6.637770464096172,0.0,0.0,0.3933593240830181,0.0,876,0,10,0.01,0.6
synthetic_regime_garch,"FIGARCH(1,1)-t",5.231193972156297,1.8682098193368344,83.6688212484682,5.284679133136536,0.01,-1.103660816314782,-1.7794442995864923,0.0,0.0,0.2014959623584319,0.0,865,0,10,0.01,0.6
synthetic_regime_garch,"GARCH(2,1)-t",5.231468469858526,1.8743717030779303,85.75680270464765,6.138891167374306,0.01,-1.0574162319647866,-1.7048836548740007,0.0,0.0,0.2018385136396418,0.0,865,0,10,0.01,0.6
synthetic_regime_garch,"GARCH(1,1)-t",5.231468598121598,1.8743722958848457,85.75691486816743,6.138939166857696,0.01,-1.057413580132115,-1.704879379295434,0.0,0.0,0.2018384745456053,0.0,865,0,10,0.01,0.6
synthetic_regime_garch,"Generalized-GARCH(2,2)-t",5.231811161456378,1.8744422600165136,85.76588412068995,6.151856663042472,0.01,-1.057024614591031,-1.7042522459365377,0.0011560693641618,0.0011560693641618,0.2021341678778571,0.0007937000608897,865,1,10,0.01,0.6
synthetic_regime_garch,"GARCH(1,2)-t",5.233584296204924,1.8743410892055083,85.6934858864344,6.157959439731508,0.01,-1.0578011265833138,-1.705504224640323,0.0,0.0,0.1997747196931272,0.0,865,0,10,0.01,0.6
synthetic_regime_garch,"GJR-GARCH(1,1)-t",5.247804075584881,1.880733567260584,85.9204610603987,6.166702690117028,0.01,-1.0484274645306364,-1.6903909676873556,0.0,0.0,0.2015141919701529,0.0,865,0,10,0.01,0.6
synthetic_regime_garch,"APGARCH/APARCH(2,1)-t",5.261277562945442,1.8852610022952292,86.02660453401643,6.233789355277241,0.01,-1.0412616905451706,-1.6788375126021793,0.0,0.0,0.2014364412718409,0.0,865,0,10,0.01,0.6
synthetic_regime_garch,"APGARCH/APARCH(1,1)-t",5.261311561712627,1.8852731653143744,86.02714065429734,6.234122363325964,0.01,-1.0412369757435156,-1.6787976646595226,0.0,0.0,0.201436386119218,0.0,865,0,10,0.01,0.6
synthetic_regime_garch,"EGARCH(1,1)-t",5.326374370880978,1.89593103902339,85.28040562425514,6.007025310994364,0.01,-1.047058191256926,-1.6881832735430475,0.0011560693641618,0.0011560693641618,0.2014469872106616,0.000792898162933,865,1,10,0.01,0.6
synthetic_regime_garch,"EGARCH(2,1)-t",5.3377642538958545,1.898041331676661,85.26243879531886,6.040628381151513,0.01,-1.044893380690816,-1.684692925997312,0.0,0.0,0.2004045058752672,0.0,865,0,10,0.01,0.6
synthetic_regime_garch,"Threshold-GARCH(1,1)-t",5.409114968026521,1.9297839466828288,86.25867265539377,6.912636919783859,0.01,-0.9786559146445822,-1.5778975413712737,0.0011560693641618,0.0011560693641618,0.2013457364272501,0.0005990069474022,865,1,10,0.01,0.6
synthetic_regime_garch,"ARMA(1,1)-RGARCH-t",6.521908721501917,2.343208573280125,135.44663407949656,1.1421700435479751,0.01,-4.387421818442098,-7.073887764519009,0.0,0.0,0.4144364625798388,0.0,876,0,10,0.01,0.6
synthetic_sv_jump_t,Naive-RV,0.1964230591345238,0.0865282096331952,45.827310430533714,-0.6903641164492768,0.01,-1.416005669455532,-2.116365474543463,0.0011415525114155,0.0011415525114155,0.1334857284022782,7.806875903527186e-05,876,1,10,0.01,0.6
synthetic_sv_jump_t,HAR-RV,0.1988180508051613,0.0964667081921018,56.9272950723101,1190773486.9391298,0.01,-1.4158465879710382,-2.1161277109746557,0.0091324200913242,0.0091324200913242,0.134135042687718,0.00067532528272,876,8,10,0.01,0.6
synthetic_sv_jump_t,RGARCH-t,0.2263034032288471,0.1297731283552247,104.89955415066706,-0.6432999826251177,0.01,-1.549698742944036,-2.3161834632846143,0.0011415525114155,0.0011415525114155,0.1416726695846288,0.0004899978081122,876,1,10,0.01,0.6
synthetic_sv_jump_t,"ARMA(1,1)-RGARCH-t",0.2263743344630428,0.1303191389651747,106.14216795699846,-0.642512512735497,0.01,-1.5538784032566892,-2.3224303936266515,0.0011415525114155,0.0011415525114155,0.1419367675087822,0.0004992719560665,876,1,10,0.01,0.6
synthetic_sv_jump_t,"ARMA(1,1)-REGARCH-t",0.3216753515318419,0.1772481131088781,84.52466702090948,-0.462329358164563,0.01,-1.1932617733810649,-1.78345191248226,0.0011415525114155,0.0011415525114155,0.1183630759481362,0.0004974960351875,876,1,10,0.01,0.6
synthetic_sv_jump_t,REGARCH-t,0.3388229590814324,0.1876950478955212,84.15017874729554,-0.3783471199594255,0.01,-1.1401186693856555,-1.7040241016111335,0.0011415525114155,0.0011415525114155,0.1151837267372609,0.000419375565585,876,1,10,0.01,0.6
synthetic_sv_jump_t,"EGARCH(2,1)-t",0.3908662994506151,0.25117228717726,75.91270434934567,1.8388574433264235,0.01,-0.641928821597059,-0.9594283585494146,0.0,0.0,0.0861203506320991,0.0,865,0,10,0.01,0.6
synthetic_sv_jump_t,"EGARCH(1,1)-t",0.3909114752102943,0.2504522821847117,75.55705511703464,1.809694747142361,0.01,-0.6457432047575017,-0.965129344782432,0.0,0.0,0.0851298867676549,0.0,865,0,10,0.01,0.6
synthetic_sv_jump_t,"GARCH(2,1)-t",0.4304626646372853,0.2797354656711996,87.16916745255155,5.9303165881945885,0.01,-0.4674732654757627,-0.6986866653615924,0.0,0.0,0.082668623330411,0.0,865,0,10,0.01,0.6
