Dataset,Model,VaR_alpha,Avg_VaR,Avg_ES,CovP,ViolationRate,CRPS,ES_Loss,N,Violations
synthetic_sv_jump_t,"Threshold-GARCH(1,1)-t",0.01,-0.5148052455940133,-0.8084184573760665,0.0025906735751295,0.0025906735751295,0.1000973800641147,0.0008993700901755,386,1
synthetic_sv_jump_t,"GARCH(1,2)-t",0.01,-0.5812359571340381,-0.9127371561562522,0.0,0.0,0.1001000623522642,0.0,386,0
synthetic_sv_jump_t,"GARCH(1,1)-t",0.01,-0.5812373038542162,-0.9127392709626924,0.0,0.0,0.100100103680877,0.0,386,0
synthetic_sv_jump_t,"GJR-GARCH(1,1)-t",0.01,-0.5816952475242351,-0.9134583975031664,0.0,0.0,0.1003213022455832,0.0,386,0
synthetic_sv_jump_t,"FIGARCH(1,1)-t",0.01,-0.5783985508079552,-0.9082814679815244,0.0,0.0,0.1005221650055562,0.0,386,0
synthetic_sv_jump_t,"GARCH(2,1)-t",0.01,-0.5800881281882518,-0.9109346762599692,0.0,0.0,0.101388377353513,0.0,386,0
synthetic_sv_jump_t,"Generalized-GARCH(2,2)-t",0.01,-0.5802266994009744,-0.911152279959591,0.0,0.0,0.1014766265924648,0.0,386,0
synthetic_sv_jump_t,"APGARCH/APARCH(1,1)-t",0.01,-0.6875106794913427,-1.0796244360382363,0.0025906735751295,0.0025906735751295,0.1031252269721622,0.0005151429527416,386,1
synthetic_sv_jump_t,"APGARCH/APARCH(2,1)-t",0.01,-0.6842512189720485,-1.074505979947438,0.0025906735751295,0.0025906735751295,0.1035805167730293,0.0003968204561806,386,1
synthetic_sv_jump_t,"EGARCH(1,1)-t",0.01,-0.8100725933537806,-1.2720881185389938,0.0,0.0,0.1050722053491774,0.0,386,0
synthetic_sv_jump_t,"EGARCH(2,1)-t",0.01,-0.8010044539204125,-1.2578480707641588,0.0,0.0,0.1058888951326293,0.0,386,0
synthetic_sv_jump_t,"ARMA(1,1)-REGARCH-t",0.01,-1.858042874684348,-2.9177561171851054,0.0,0.0,0.1653328654164675,0.0,431,0
synthetic_sv_jump_t,"ARMA(1,1)-RGARCH-t",0.01,-2.128832182309889,-3.34298697141228,0.0,0.0,0.1835338363888836,0.0,431,0
synthetic_sv_jump_t,RGARCH-t,0.01,-2.162124414603914,-3.395267042961834,0.0,0.0,0.1857367695231446,0.0,431,0
synthetic_sv_jump_t,REGARCH-t,0.01,-2.715493571840038,-4.264243892520037,0.0,0.0,0.2233325328438608,0.0,431,0
synthetic_sv_jump_t,HAR-RV,0.01,-3.766612879247268,-5.914856927808491,0.0,0.0,0.2987707107618366,0.0,431,0
