Dataset,Model,VaR_alpha,Avg_VaR,Avg_ES,CovP,ViolationRate,CRPS,ES_Loss,N,Violations
synthetic_regime_garch,"EGARCH(2,1)-t",0.05,-0.5021420843247046,-0.9005136610791065,0.03650793650793651,0.03650793650793651,0.18498438081831386,0.012177088202828111,630,23
synthetic_regime_garch,"Generalized-GARCH(2,2)-t",0.05,-0.5060686824874082,-0.907555403640553,0.047619047619047616,0.047619047619047616,0.18512380649942117,0.015309030170020006,630,30
synthetic_regime_garch,"GARCH(1,2)-t",0.05,-0.5060648285860017,-0.9075484922683071,0.047619047619047616,0.047619047619047616,0.18512394618797817,0.015308253731445719,630,30
synthetic_regime_garch,"Threshold-GARCH(1,1)-t",0.05,-0.4772633894501794,-0.8558975946236178,0.047619047619047616,0.047619047619047616,0.18576647461339657,0.01559897738143407,630,30
synthetic_regime_garch,"EGARCH(1,1)-t",0.05,-0.50386162409175,-0.903597387975002,0.044444444444444446,0.044444444444444446,0.1862073780002161,0.013886096617512783,630,28
synthetic_regime_garch,"FIGARCH(1,1)-t",0.05,-0.517044522079553,-0.927238863368553,0.03968253968253968,0.03968253968253968,0.1862290942453487,0.012824834817346253,630,25
synthetic_regime_garch,"GJR-GARCH(1,1)-t",0.05,-0.5024453429905018,-0.9010575082887228,0.05238095238095238,0.05238095238095238,0.18652880196131258,0.015646211678865773,630,33
synthetic_regime_garch,"APGARCH/APARCH(1,1)-t",0.05,-0.5052835412143921,-0.9061473749883062,0.05238095238095238,0.05238095238095238,0.18661608420278775,0.01594965241681922,630,33
synthetic_regime_garch,"APGARCH/APARCH(2,1)-t",0.05,-0.5052717409683423,-0.9061262130839298,0.05238095238095238,0.05238095238095238,0.18661610398162723,0.015947829783131043,630,33
synthetic_regime_garch,"GARCH(2,1)-t",0.05,-0.5058773828109091,-0.9072123374498767,0.05238095238095238,0.05238095238095238,0.18679782974539563,0.014932578084071427,630,33
synthetic_regime_garch,"GARCH(1,1)-t",0.05,-0.5058765140964712,-0.9072107795457629,0.05238095238095238,0.05238095238095238,0.18679817617806307,0.014932030380274134,630,33
synthetic_regime_garch,"ARMA(1,1)-REGARCH-t",0.05,-1.077179787097702,-1.93175426637317,0.004594180704441042,0.004594180704441042,0.25861154289408816,0.00194665658529229,653,3
synthetic_regime_garch,"ARMA(1,1)-RGARCH-t",0.05,-1.7221724211834508,-3.088448151273744,0.0015313935681470138,0.0015313935681470138,0.35046148312943115,0.000948999966650663,653,1
synthetic_regime_garch,RGARCH-t,0.05,-1.9133877537674704,-3.431363084267786,0.0015313935681470138,0.0015313935681470138,0.380009786971918,0.0012664305150070128,653,1
synthetic_regime_garch,REGARCH-t,0.05,-1.9908867666838461,-3.570345499862759,0.0,0.0,0.3920319576088429,0.0,653,0
synthetic_regime_garch,Naive-RV,0.05,-2.3048746875135464,-4.133433958184712,0.0,0.0,0.4414471920799787,0.0,653,0
synthetic_regime_garch,HAR-RV,0.05,-2.3640375570640755,-4.239533354992971,0.0,0.0,0.4505697284547758,0.0,653,0
