Dataset,Model,VaR_alpha,Avg_VaR,Avg_ES,CovP,ViolationRate,CRPS,ES_Loss,N,Violations
synthetic_rough_long_memory,"EGARCH(2,1)-t",0.05,-0.19574582026407644,-0.34164553192583696,0.03492063492063492,0.03492063492063492,0.0697361104735217,0.003921662752325867,630,22
synthetic_rough_long_memory,"GARCH(1,2)-t",0.05,-0.1993466316068926,-0.3479302183877056,0.03968253968253968,0.03968253968253968,0.07068396699658677,0.003846350340478542,630,25
synthetic_rough_long_memory,"Generalized-GARCH(2,2)-t",0.05,-0.19934696398302584,-0.3479307985013483,0.03968253968253968,0.03968253968253968,0.070684068873417,0.0038462549117498205,630,25
synthetic_rough_long_memory,"Threshold-GARCH(1,1)-t",0.05,-0.17973647763384734,-0.313703579595469,0.047619047619047616,0.047619047619047616,0.0709418195777995,0.004128169415371857,630,30
synthetic_rough_long_memory,"APGARCH/APARCH(1,1)-t",0.05,-0.18971899912793644,-0.3311266022746156,0.046031746031746035,0.046031746031746035,0.07098173119232898,0.003821602749704811,630,29
synthetic_rough_long_memory,"APGARCH/APARCH(2,1)-t",0.05,-0.18971660787788097,-0.33112242869943503,0.046031746031746035,0.046031746031746035,0.07098174589512565,0.0038214797389516473,630,29
synthetic_rough_long_memory,"EGARCH(1,1)-t",0.05,-0.19634721654411344,-0.34269518065761717,0.0380952380952381,0.0380952380952381,0.07111389506715002,0.003320464998449985,630,24
synthetic_rough_long_memory,"GJR-GARCH(1,1)-t",0.05,-0.19960040713503227,-0.348373146237629,0.04126984126984127,0.04126984126984127,0.07121480508430571,0.003505263403661532,630,26
synthetic_rough_long_memory,"GARCH(1,1)-t",0.05,-0.19946253457556876,-0.34813250996834694,0.04126984126984127,0.04126984126984127,0.07121667228695261,0.0035249618146725036,630,26
synthetic_rough_long_memory,"GARCH(2,1)-t",0.05,-0.19946372832659287,-0.3481345934851396,0.04126984126984127,0.04126984126984127,0.07121679234845896,0.003524977526183166,630,26
synthetic_rough_long_memory,"FIGARCH(1,1)-t",0.05,-0.1995279806073325,-0.34824673638863113,0.04126984126984127,0.04126984126984127,0.07122140837950285,0.003526987998402836,630,26
synthetic_rough_long_memory,"ARMA(1,1)-RGARCH-t",0.05,-0.600674116909307,-1.0483883022825617,0.0,0.0,0.1170997942423343,0.0,653,0
synthetic_rough_long_memory,RGARCH-t,0.05,-0.6967383127329299,-1.216054223510983,0.0,0.0,0.13169112676952466,0.0,653,0
synthetic_rough_long_memory,REGARCH-t,0.05,-0.773459951337606,-1.349960556713679,0.0,0.0,0.14236012312610113,0.0,653,0
synthetic_rough_long_memory,Naive-RV,0.05,-0.8710082354890311,-1.5202167357851182,0.0,0.0,0.15723992574694284,0.0,653,0
synthetic_rough_long_memory,HAR-RV,0.05,-0.887831385458291,-1.549579069101671,0.0,0.0,0.15975900267081108,0.0,653,0
synthetic_rough_long_memory,"ARMA(1,1)-REGARCH-t",0.05,-1.0033836286924842,-1.7512585100813602,0.0,0.0,0.17756252804511716,0.0,653,0
